"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","Scenario_2","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","11475","Scenario_2 - with problem user and a random item name","web-chrome","2026-09-08","passed","2026-09-08","Web Automation tests","web/web-automation.spec.ts","",""
"","809","Scenario_4","web-chrome","2026-09-08","passed","2026-09-08","Web Automation tests","web/web-automation.spec.ts","",""
"","54","Scenario_4 with not allowed delayMs=5001","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","78","Scenario_4 with allowed delayMs=0","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","3070","Scenario_4 with allowed delayMs=3000","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","136","Scenario_3","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","263","Scenario_4 with allowed delayMs=200","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","1815","Scenario_1","web-chrome","2026-09-08","passed","2026-09-08","Web Automation tests","web/web-automation.spec.ts","",""
"","533","Scenario_1","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","5073","Scenario_4 with allowed delayMs=5000","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","5067","Scenario_4 with original delayMs=5000","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","1002","Scenario_2 - with standard_user and random item name","web-chrome","2026-09-08","passed","2026-09-08","Web Automation tests","web/web-automation.spec.ts","",""
"","53","Scenario_4 with not allowed delayMs=-1","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","56","Scenario_4 with original delayMs=6000","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","67","Scenario_4 with not allowed delayMs=delay","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
"","1528","Scenario_3","web-chrome","2026-09-08","passed","2026-09-08","Web Automation tests","web/web-automation.spec.ts","",""
"","75","Scenario_4 with original delayMs=0","api","2026-09-08","passed","2026-09-08","API Automation tests","api/api-automation.spec.ts","",""
